,type,id,tags,geometry
0,node,29773946,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (8.820002 47.2284849)
1,node,92536357,"{'man_made': 'surveillance', 'surveillance': 'public'}",POINT (8.5938246 47.4123116)
2,node,112376207,"{'camera:direction': '330', 'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera', 'surveillance:zone': 'area'}",POINT (8.5150958 47.3902422)
3,node,240970435,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.7237264 47.4997806)
4,node,297684927,"{'man_made': 'surveillance', 'surveillance:type': 'camera'}",POINT (7.4423769 46.946555)
5,node,297685081,"{'man_made': 'surveillance', 'surveillance:type': 'camera'}",POINT (7.4449683 46.9467558)
6,node,300434611,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7166924 47.3802346)
7,node,300434612,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7164896 47.3801059)
8,node,308056544,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.5219496 47.384489)
9,node,349224238,"{'created_by': 'Potlatch 0.10f', 'man_made': 'surveillance'}",POINT (8.7941122 46.1664083)
10,node,349224629,"{'created_by': 'Potlatch 0.10f', 'man_made': 'surveillance'}",POINT (8.8040256 46.1650708)
11,node,349285692,"{'created_by': 'Potlatch 0.10f', 'man_made': 'surveillance'}",POINT (8.8039694 46.1654469)
12,node,349285843,{'man_made': 'surveillance'},POINT (8.8039325 46.1657937)
13,node,349285913,{'man_made': 'surveillance'},POINT (8.8037529 46.166058)
14,node,351670223,{'man_made': 'surveillance'},POINT (8.8013722 46.1684209)
15,node,354502361,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.4714373 47.4375324)
16,node,354502362,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.4716341 47.437708)
17,node,354502363,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.4719608 47.4375404)
18,node,354502364,"{'camera:mount': 'wall', 'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.471764 47.4373648)
19,node,399521498,"{'camera:direction': '40', 'camera:mount': 'wall', 'camera:type': 'fixed', 'height': '5', 'man_made': 'surveillance', 'surveillance': 'public', 'surveillance:type': 'camera'}",POINT (8.3089436 47.4732052)
20,node,410180397,"{'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.3084931 47.4611066)
21,node,417650663,{'man_made': 'surveillance'},POINT (6.6844542 46.5080588)
